name_in_database,domain,authors,journal,year,expt_in_paper,stimuli,n_subjects_master,min_trials,max_trials,n_tasks_conditions,confidence_type,confidence_scale_raw,conf_simultaneous,conf_min_est,conf_max_est,conf_n_levels_est,conf_is_discrete_est,manipulations,notes_master,task_type,csv_found,csv_error,csv_columns,csv_n_columns,csv_n_rows,csv_n_subjects,csv_file_size_bytes,is_multi_task,n_tasks_detected,task_suffixes,has_explicit_accuracy,has_any_rt,has_decision_rt,has_separate_conf_rt,rt_type,conf_min_actual,conf_max_actual,conf_n_unique_actual,conf_is_discrete_actual,conf_n_levels_actual,conf_non_numeric,stimulus_is_binary,stimulus_values,response_is_binary,response_values,has_correct_col,has_error_col,feedback,response_device,data_collection_dates,auto_tags,n_tags,tag_notes
Adler_2018_Expt1,Cognitive,Adler & Ma,PLOS Comp Biol,2018.0,Expt 1,Gabors/ellipses,11,4320,4320,2,confidence rating,4-point,yes,1.0,4.0,4.0,True,contrast (Gabors)/aspect ratio (ellipses),,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, Difficulty, Orientation, Task",8,47520,11.0,2430283,False,1,,False,True,True,False,combined,1.0,4.0,4,True,4.0,,True,"1, 2",True,"1, 2",False,False,Trial-by-trial feedback was not provided.,Keyboard,February – June 2015,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,
Adler_2018_Expt2,Cognitive,Adler & Ma,PLOS Comp Biol,2018.0,Expt 2,Gabors,8,2592,3240,2,confidence rating,4-point,no,1.0,4.0,4.0,True,contrast,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Difficulty, Orientation, Task",9,25272,8.0,1776196,False,1,,False,True,True,True,separate,1.0,4.0,4,True,4.0,,True,"1, 2",True,"1, 2",False,False,Trial-by-trial feedback was provided.,Keyboard,February 2016,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Adler_2018_Expt3,Cognitive,Adler & Ma,PLOS Comp Biol,2018.0,Expt 3,Gabors,15,3240,3240,1,confidence rating,4-point,yes,1.0,4.0,4.0,True,contrast,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, Difficulty, Orientation",7,48600,15.0,2400594,False,1,,False,True,True,False,combined,1.0,4.0,4,True,4.0,,True,"1, 2",True,"1, 2",False,False,Trial-by-trial feedback was not provided.,Keyboard,"June – September, 2014","accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,
AguilarLleyda_2018,Perception,"Aguilar-Lleyda, Lemarchand & De Gardelle",bioRxiv,2018.0,,letter and color discrimination,28,400,400,2,confidence rating,continuous (50-100),no,50.0,100.0,,False,task difficulty (%correct: 90% or 60%),,binary_classification,True,,"Subj_idx, Run, Block, Trial, Difficulty_col, Difficulty_let, Number_blues, Number_os, Stimulus_col, Stimulus_let, Response_col, Response_let, Accuracy_col, Accuracy_let, Confidence_col, Confidence_let, RT_confidence_col, RT_confidence_let, Firstchoice, Location_firstchoice, Location_secondchoice, RT_firstchoice, RT_secondchoice",23,11200,28.0,932747,True,2,"col, let",True,True,True,True,separate,49.2318,100.0,313,False,,,True,"1, 2",True,"1, 2",False,False,"after each block, participants were told the percentage of correct choices, pooled across tasks (without differentiating color and letter choices).",mouse.,the first 10 participants were recruited in Spring 2018. The sample was enlarged with 18 more participants in Winter 2019.,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,"continuous confidence → binning required for meta-d'; multi-task (2 tasks, suffixes=['col', 'let']): run analyses per task"
AguilarLleyda_unpub,Perception,"Aguilar-Lleyda, Konishi, Sackur & De Gardelle",Unpublished,,,letter and color discrimination,34,384,384,2,confidence rating,continuous (50-100),no,50.0,100.0,,False,task difficulty (%correct: 90% or 60%),,binary_classification,True,,"Subj_idx, Run, Block, Trial, Difficulty_col, Difficulty_let, Number_blues, Number_os, Stimulus_col, Stimulus_let, Response_col, Response_let, Accuracy_col, Accuracy_let, RT_dec_col, RT_dec_let, Confidence_col, Confidence_let, RT_confidence_col, RT_confidence_let, Taskorder, Locationchoice_col, Locationchoice_let, Initposconf_col, Initposconf_let",25,13056,34.0,1293037,True,2,"col, let",True,True,True,True,separate,50.0,100.0,453,False,,,True,"1, 2",True,"1, 2",False,False,"after each block, participants were told the percentage of correct choices, pooled across tasks (without differentiating color and letter choices).",keyboard (perceptual choices) and mouse (confidence responses).,participants were recruited in Spring 2019.,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,"continuous confidence → binning required for meta-d'; multi-task (2 tasks, suffixes=['col', 'let']): run analyses per task"
Akdogan_2017_Exp1,Perception,Akdogan & Balcı,JEP:General,2017.0,Expt 1,time (duration in sec signaled by square),28,210,210,1,"confidence rating
+ direction of error judgment",3-point,no,1.0,3.0,3.0,True,stimulus duration (2.1 s or 4.2 s; within-subject),,binary_classification,True,,"Subj_idx, Block, Trial_in_block, Trial, Stimulus, RT_start, Response, Confidence, RT_conf, ErrorDirection, RT_error",11,5880,28.0,289912,False,1,,False,True,False,True,confidence_only,1.0,3.0,3,True,3.0,,True,"2.1, 4.2",False,"1.3304, 1.6712, 1.6881, 1.8337, 1.8571, 1.8649, 1.9078, 1.9134, 1.9392, 1.985",False,False,Performance feedback was not provided to participants.,Standard computer keyboard,Dec 2014-May 2015,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Akdogan_2017_Exp2,Perception,Akdogan & Balcı,JEP:General,2017.0,Expt 2,time (duration in sec signaled by square),24,210,210,1,"confidence rating
+ direction of error judgment",3-point,no,1.0,3.0,3.0,True,stimulus duration (1.5 s or 3.0 s; within-subject),,binary_classification,True,,"Subj_idx, Block, Trial_in_block, Trial, Stimulus, RT_start, Response, Confidence, RT_conf, ErrorDirection, RT_error",11,5040,24.0,243914,False,1,,False,True,False,True,confidence_only,1.0,3.0,3,True,3.0,,True,"1.5, 3.0",False,"1.3226, 1.3363, 1.5249, 1.6577, 1.6974, 1.7494, 1.9145, 2.2855, 2.4473, 2.6052",False,False,Performance feedback was not provided to participants.,Standard computer keyboard,March 2015,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Akdogan_2017_Exp3,Perception,Akdogan & Balcı,JEP:General,2017.0,Expt 3,time (duration in sec signaled by square),24,184,184,1,"confidence rating
+ direction of error judgment",3-point,no,1.0,3.0,3.0,True,stimulus duration (3.0 s or 6.0 s; within-subject),,binary_classification,True,,"Subj_idx, Block, Trial_in_block, Trial, Stimulus, RT_start, Response, Confidence, RT_conf, ErrorDirection, RT_error",11,4416,24.0,207678,False,1,,False,True,False,True,confidence_only,1.0,3.0,3,True,3.0,,True,"3, 6",False,"2.2172, 2.3801, 2.5594, 2.8772, 3.002, 3.444, 3.5592, 3.6588, 3.7453, 5.3547",False,False,Performance feedback was not provided to the participants.,Standard computer keyboard,March-April 2015,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Akdogan_2017_Exp4,Perception,Akdogan & Balcı,JEP:General,2017.0,Expt 4,time (duration in sec signaled by square),43,60,60,1,"confidence rating
+ direction of error judgment",3-point,no,1.0,3.0,3.0,True,stimulus duration (1.5 s or 3.0 s; between-subject),,binary_classification,True,,"Subj_idx, Block, Trial, Stimulus, RT_start, Response, Confidence, RT_conf, ErrorDirection, RT_error",10,2580,43.0,115238,False,1,,False,True,False,True,confidence_only,1.0,3.0,3,True,3.0,,True,"1.5, 3.0",False,"1.3176, 1.427, 1.4777, 1.5829, 1.6179, 1.6902, 1.695, 1.7253, 1.7754, 1.8229",False,False,Performance feedback was not provided to the participants.,Standard computer keyboard,June-July 2015,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Arbuzova_2021_expt2,Motor,"Arbuzova, Filevich",Unpublished,,,ball throw trajectories / lever angles,43,600,1200,4,confidence rating,6-point,no,1.0,6.0,6.0,True,"task difficulty, visuo-motor vs. motor vs. visual","visuo-motor = ball/lever shown during throw, motor = ball/lever not shown during throw, visual = no active throw, replay shown instead",binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Difference, Condition, Task",9,50280,43.0,1614810,False,1,,False,True,True,True,separate,1.0,6.0,6,True,6.0,,True,"1, 2",True,"1.0, 2.0",False,False,,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
